"attended_clean","interview_date_mo","client_name_clean","industry_clean","location_clean","position_to_be_closed_clean","gender_clean","current_location_clean","job_location_clean","interview_venue_clean","marital_clean","interview_type_clean","candidate_native_location_clean","skillset_clean","q_start_time_clean","q_unsch_mtgs_clean","q_call_3hrs_clean","q_alt_number_clean","q_resume_clean","q_venue_clean","q_call_letter_clean","q_total","name","fold","interview_date_mo_te","industry_clean_te","location_clean_te","position_to_be_closed_clean_te","gender_clean_te","current_location_clean_te","job_location_clean_te","interview_venue_clean_te","marital_clean_te","interview_type_clean_te","candidate_native_location_clean_te","skillset_clean_te","q_start_time_clean_te","q_unsch_mtgs_clean_te","q_call_3hrs_clean_te","q_alt_number_clean_te","q_resume_clean_te","q_venue_clean_te","q_call_letter_clean_te","q_total_te"
"0","2","HOSPIRA","PHARMACEUTICALS","CHENNAI","NICHE","MALE","CHENNAI","BANGALORE","OTHER","SINGLE","SCHEDULED_WALKIN","OTHER","OTHER","1","1","1","1","1","1","1","7","Candidate 2",2,0.5821162243460266,0.5725526701815334,0.6002930821027364,0.6644452500466219,0.6406346992119586,0.6002930821027364,0.6988663116466901,0.7646514356136322,0.6589067547625684,0.6374383208595339,0.6843899977051355,0.6803271112893079,0.7144020025070563,0.6967911736048986,0.6849970079678439,0.7008820342832554,0.7006866779043811,0.6978081685054645,0.6984840347325749,0.7253087126089374
"0","2","HOSPIRA","PHARMACEUTICALS","CHENNAI","NICHE","MALE","CHENNAI","BANGALORE","OTHER","MARRIED","SCHEDULED_WALKIN","CHENNAI","OTHER","1","1","1","0","1","1","1","6","Candidate 5",1,0.413330951377527,0.607185209498686,0.6016257542129918,0.7317841399799694,0.6385656649066557,0.6016257542129918,0.682920503616333,0.7646512728471023,0.6295668450797477,0.6096180344805305,0.590275809082571,0.6529547501916755,0.7139078985743162,0.7061643052692256,0.701181820488761,0.3995300926574289,0.7049640720810634,0.705565431152565,0.7103051996331046,0.495420503616333
"0","6","OTHER","OTHER","BANGALORE","NICHE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","SCHEDULED_WALKIN","OTHER","OTHER","0","1","1","1","1","1","0","5","Candidate 21",2,0.6586777428381002,0.6935358783331784,0.7011561991887933,0.6624206018570772,0.6386100510224139,0.7011561991887933,0.6968416634571454,0.7026267874240875,0.6568821065730237,0.6354136726699892,0.6823653495155908,0.6783024630997632,0.4266774203354799,0.6947665254153539,0.6829723597782992,0.6988573860937106,0.6986620297148364,0.6957835203159197,0.45090264949305303,0.3151267874240875
"0","6","OTHER","OTHER","BANGALORE","NICHE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","SCHEDULED_WALKIN","OTHER","OTHER","1","1","1","0","0","1","1","5","Candidate 25",0,0.6809887408557004,0.7134595678470753,0.6607625755527675,0.6854315398190473,0.644449741694392,0.6607625755527675,0.6542003085878161,0.6670985214860289,0.6601414682564821,0.6464118126964262,0.6807236060788555,0.667290110718714,0.7467173153905371,0.7280964754970833,0.7181791902772808,0.4160058641433716,0.4058597602472677,0.7268611273012663,0.7390623518391211,0.2319780863655938
"0","6","OTHER","OTHER","BANGALORE","NICHE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","SCHEDULED_WALKIN","OTHER","OTHER","0","0","1","1","1","1","0","4","Candidate 26",1,0.6646606089852073,0.6978156891991111,0.6745680667968568,0.7282969726215709,0.6350784975482572,0.6745680667968568,0.6794333362579346,0.6822559169030958,0.6330942861260085,0.606130867122132,0.6586000029246012,0.649467582833277,0.37448367182840436,0.38200425824375017,0.6976946531303625,0.7017454448174335,0.7014769047226649,0.7020782637941665,0.38382522814982645,0.6368593238822247
"0","6","OTHER","OTHER","BANGALORE","NICHE","MALE","BANGALORE","BANGALORE","BANGALORE","MARRIED","SCHEDULED_WALKIN","BANGALORE","OTHER","0","1","1","1","1","1","0","5","Candidate 27",2,0.6542346302263295,0.6890927657214078,0.6967130865770227,0.6579774892453065,0.6341669384106432,0.6967130865770227,0.6923985508453747,0.6981836748123168,0.5990805357988639,0.6309705600582185,0.7065170081456502,0.6738593504879925,0.4222343077237093,0.6903234128035832,0.6785292471665285,0.69441427348194,0.6942189171030657,0.6913404077041491,0.4464595368812824,0.3106836748123169
"0","6","OTHER","OTHER","BANGALORE","NICHE","MALE","BANGALORE","BANGALORE","BANGALORE","SINGLE","SCHEDULED_WALKIN","BANGALORE","OTHER","0","1","1","1","0","1","0","4","Candidate 28",1,0.6648427607796409,0.6979978409935447,0.6747502185912904,0.7284791244160045,0.6352606493426908,0.6747502185912904,0.6796154880523682,0.6824380686975294,0.6332764379204421,0.6063130189165656,0.7064012023380825,0.6496497346277106,0.37466582362283796,0.7028592897052607,0.6978768049247961,0.7019275966118671,0.39071688665376675,0.7022604155886001,0.38400737994426004,0.6368593238822247
"0","6","STANDARD CHARTERED BANK","BFSI","CHENNAI","NICHE","FEMALE","CHENNAI","CHENNAI","CHENNAI","SINGLE","SCHEDULED_WALKIN","OTHER","OTHER","1","1","1","0","1","1","0","5","Candidate 32",2,0.653541311382488,0.636799211260052,0.5931320024575795,0.657284170401465,0.6255895295221944,0.5931320024575795,0.596579194237268,0.5965357020305279,0.6517456751174115,0.630277241214377,0.6772289180599786,0.673166031644151,0.7072409228618994,0.6896300939597417,0.677835928322687,0.4434363019144213,0.6935255982592242,0.6906470888603076,0.4457662180374409,0.30999035596847535
"0","6","STANDARD CHARTERED BANK","BFSI","CHENNAI","NICHE","MALE","CHENNAI","CHENNAI","CHENNAI","MARRIED","SCHEDULED_WALKIN","CHENNAI","OTHER","1","1","1","1","1","1","1","7","Candidate 34",0,0.6660289406123227,0.6397540470932712,0.606446549336887,0.6704717395756695,0.6294899414510142,0.606446549336887,0.6121081367929324,0.6077768331307631,0.6101806792846093,0.6314520124530485,0.5877785200403447,0.6523303104753363,0.7317575151471594,0.7131366752537056,0.7032193900339031,0.7147960638999938,0.714094309514029,0.7119013270578886,0.7241025515957433,0.7513593097233829
"0","6","STANDARD CHARTERED BANK","BFSI","CHENNAI","NICHE","MALE","CHENNAI","CHENNAI","CHENNAI","MARRIED","SCHEDULED_WALKIN","CHENNAI","OTHER","1","1","1","0","1","0","1","5","Candidate 35",1,0.6811819531700828,0.6444465004837099,0.6146599310394688,0.7448183168064464,0.6515998417331327,0.6146599310394688,0.6207894822049246,0.6163433115332972,0.6426010219062247,0.6226522113070075,0.603309985909048,0.6659889270181525,0.7269420754007933,0.7191984820957026,0.714215997315238,0.41256426948390595,0.7179982489075404,0.4028208776259086,0.7233393764595816,0.19595468044281006
